GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight,cuisine_2.0,cuisine_3.0,cuisine_4.0,cuisine_5.0,cuisine_6.0
2.4,1.2453996981544782,-0.35514240260228896,-1.1272628158429598,-0.040953961770732246,-0.8273675028442983,-1.7413380098407458,none,we dont have comfort ,3.5118070438026256,-0.7748576079954712,3.3162971834098287,eat good and exercise,-0.9958705948858222,-1.1466537466972384,eat faster ,-0.7107578226244065,-1.3997605922251648,0.387940088722229,1.11375771079767,-2.3405473011327147,-0.8097092929396623,1.262696632298085,profesor ,Arabic cuisine,0.296882606139319,-0.7791577895939819,rice  and chicken ,3.2192602199319587,0.8437654132750553,-0.3330403077039373,1.1116877751341805,-1.3419903086593792,looks not oily ,being healthy ,2.0668221069797648,0.3210550691030122,1.2479378273455435,0.4650993068898957,-1.3258602847848442,-0.9086260917288514,"rice, chicken,  soup",-2.1122572512465534,unemployed,1.5395211123582042,-0.4730499167912662,-0.7098826411339049,-1.358921433176927,1.5518662824959095,-0.10839440602948874,-0.5248906591678238,-0.7895420339517225,-1.6326868128870202,1.0848610115671116,-1.3840303923674648,car racing,0.921074286654494,-1.0242950394631678,0.9754899029916843,187,False,False,False,False,False
3.654,-0.8029550685469662,-0.35514240260228896,0.250060744106353,-0.040953961770732246,-0.36907678856569864,0.5742710457985438,"chocolate, chips, ice cream","Stress, bored, anger",-0.8724714128798036,0.2034979576553765,-0.8868678145747452,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan ,0.31448545101657543,0.8721028496007164,I eat out more than usual. ,-0.7107578226244065,-1.0056838489185305,-0.4937419311010189,-0.7933616570065591,0.21836009806485945,-0.8097092929396623,-1.2426538286108137,Self employed ,Italian,-0.7339597762888718,-0.7791577895939819,"chicken and biscuits, beef soup, baked beans",-0.31063037209869804,-0.24356115022372757,1.4384506907212615,0.37644453761157437,-0.17706816572589043,"Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy ","Try to eat 5-6 small meals a day. While trying to properly distribute carbs, protein, fruits, veggies, and dairy.  ",-0.33869710505441225,-0.3708739591362376,0.5726467952321541,-1.2448246154994254,-1.3258602847848442,0.9232813512728653,"Pasta, steak, chicken ",0.4847803527451107,Nurse RN ,0.7064469173591759,-0.4730499167912662,-0.7098826411339049,0.5713646934948444,0.8438980879266078,-0.10839440602948874,-0.5248906591678238,-0.7895420339517225,-0.9337626635346998,-1.110002171665963,0.8893008081980249,Basketball ,-0.007428018440762054,0.9762812094883317,-0.7001239618326084,155,False,False,False,False,False
3.3,-0.8029550685469662,-0.35514240260228896,1.0917584751864888,1.6654611120097782,-0.36907678856569864,0.5742710457985438,"frozen yogurt, pizza, fast food","stress, sadness",-0.8724714128798036,-1.753213173646319,-0.8868678145747452,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",1.624841496918973,-1.1466537466972384,sometimes choosing to eat fast food instead of cooking simply for convenience,-0.7107578226244065,-0.6116071056118962,-0.4937419311010189,1.11375771079767,1.0713292311307174,0.7238310345975769,-1.2426538286108137,owns business,italian,-0.7339597762888718,1.434358658116194,"mac and cheese, pizza, tacos",-0.31063037209869804,0.8437654132750553,0.552705191508662,1.1116877751341805,0.21123921525193912,usually includes natural ingredients; nonprocessed food,i would say my ideal diet is my current diet,1.104614422166094,1.012984097342262,1.2479378273455435,0.4650993068898957,0.6125319444327643,0.9232813512728653,"chicken and rice with veggies, pasta, some kind of healthy recipe",-1.2465780499159989,owns business,0.7064469173591759,1.0052310731814402,-0.7098826411339049,-0.3937783698410413,1.5518662824959095,2.6014657447077276,-0.5248906591678238,1.2665570127975554,1.1630097845222611,1.0848610115671116,-0.3626786935626796,none,0.921074286654494,-1.0242950394631678,-0.7001239618326084,I'm not answering this. ,False,True,False,False,False
3.2,-0.8029550685469662,-0.35514240260228896,-1.1272628158429598,-0.040953961770732246,-0.36907678856569864,0.5742710457985438,"Pizza, Mac and cheese, ice cream",Boredom,-0.32443660579449984,-0.7748576079954712,-0.36147218982667345,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",0.31448545101657543,0.8721028496007164,Accepting cheap and premade/store bought foods,-0.7107578226244065,-0.6116071056118962,-0.4937419311010189,1.11375771079767,1.0713292311307174,2.257371362134816,-1.2426538286108137,Mechanic ,Turkish ,0.296882606139319,-0.7791577895939819,"Beef stroganoff, tacos, pizza",3.2192602199319587,-0.24356115022372757,1.4384506907212615,1.1116877751341805,0.5995465962297687,"Fresh fruits& vegetables, organic meats ","Healthy, fresh veggies/fruits & organic foods ",-0.8198009474612477,1.012984097342262,1.2479378273455435,0.4650993068898957,-1.0027949132485763,0.9232813512728653,Grilled chicken Stuffed ShellsHomemade Chili,0.4847803527451107,Special Education Teacher,-0.9597014726388807,-0.4730499167912662,-0.7098826411339049,-1.358921433176927,1.5518662824959095,1.698179027795322,-0.5248906591678238,1.2665570127975554,1.1630097845222611,-1.110002171665963,0.8893008081980249,none,-0.935930323536018,-1.0242950394631678,0.9754899029916843,"Not sure, 240",True,False,False,False,False
3.5,-0.8029550685469662,-0.35514240260228896,1.0917584751864888,-1.7473690355512428,-0.36907678856569864,0.5742710457985438,"Ice cream, chocolate, chips ","Stress, boredom, cravings ",-0.8724714128798036,-1.753213173646319,-0.8868678145747452,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats. ,0.31448545101657543,0.8721028496007164,I have eaten generally the same foods but I do find myself eating the same food frequently due to what I have found I like from egan and the laker. ,1.9413236050786025,-0.21753036230526196,-0.4937419311010189,-0.7933616570065591,0.21836009806485945,-0.8097092929396623,0.42757981199511874,IT,Italian ,-0.7339597762888718,1.434358658116194,"Pasta, chicken tender, pizza ",-0.31063037209869804,-0.24356115022372757,1.4384506907212615,0.37644453761157437,0.21123921525193912,"A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain ",Ideally I would like to be able to eat healthier foods in order to loose weight. ,-0.8198009474612477,1.012984097342262,-0.7779352689946247,0.4650993068898957,-1.3258602847848442,-0.9086260917288514,"Chicken Parmesan, Pulled Pork, Spaghetti and meatballs ",1.3504595540756654,Substance Abuse Conselor,-0.12662727763985243,-0.4730499167912662,-0.7098826411339049,0.5713646934948444,-0.5720383012119957,0.7948923108829167,-0.5248906591678238,-0.7895420339517225,0.46408563516994084,-0.03751220713161973,-0.3626786935626796,Softball,-0.007428018440762054,0.9762812094883317,-1.265391289725141,190,True,False,False,False,False
2.25,-0.8029550685469662,-0.35514240260228896,0.250060744106353,-0.040953961770732246,2.0751403542534983,0.5742710457985438,"Candy, brownies and soda.","None, i don't eat comfort food. I just eat when i'm hungry.",0.7716330083761076,0.2034979576553765,0.68931905966947,My current diet is terrible. I barely have time to eat a meal in a day. When i do eat it's mostly not healthy.,0.31448545101657543,0.8721028496007164,Eating rice everyday. Eating less homemade food.,-0.7107578226244065,-0.6116071056118962,-1.3754239509242667,1.11375771079767,0.21836009806485945,0.7238310345975769,-2.07777064891378,Taxi Driver,African,1.843146179781605,1.434358658116194,"Fries, plaintain & fried fish",-0.31063037209869804,-2.4182142772212933,-0.3330403077039373,-1.0940419374336379,-0.56537554670372,"Requires veggies, fruits and a cooked meal. ",My ideal diet is to eat 3 times a day including breakfast on time. Eat healthy food. ,-0.8198009474612477,-2.446661043853987,1.2479378273455435,0.4650993068898957,-0.35666417017604,0.9232813512728653,Anything they'd want. I'd ask them before hand what they want to eat and it depends on which type of friend is coming.,-2.1122572512465534,Hair Braider,-1.7927756676379092,-0.4730499167912662,0.6345920579833392,1.5365077568307302,1.5518662824959095,1.698179027795322,-0.5248906591678238,1.2665570127975554,0.46408563516994084,-0.03751220713161973,-1.3840303923674648,None.,-2.79293493372653,0.9762812094883317,0.9754899029916843,190,False,False,False,False,False
3.8,1.2453996981544782,-0.35514240260228896,0.250060744106353,-0.040953961770732246,-0.36907678856569864,0.5742710457985438,"Chocolate, ice cream, french fries, pretzels","stress, boredom",-0.8724714128798036,-0.7748576079954712,-0.8868678145747452,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",1.624841496918973,-1.1466537466972384,I started eating a lot less and healthier because I wasn't playing sports year round anymore.,0.615282891227098,0.17654638100137232,-0.4937419311010189,1.11375771079767,1.0713292311307174,-0.8097092929396623,0.42757981199511874,Assembler ,Thai,0.8123037973534143,-0.7791577895939819,"grilled chicken, hamburgers",-0.31063037209869804,-0.24356115022372757,1.4384506907212615,1.1116877751341805,-0.56537554670372,"Protein, vegetables, fruit, and some carbs","I would ideally like to eat more fresh fruits and vegetables. However, its difficult to get to the store all the time to buy fresh.",-0.8198009474612477,-0.3708739591362376,1.2479378273455435,0.4650993068898957,0.9355973159690324,-0.9086260917288514,"Grilled chicken, steak, pizza",0.4847803527451107,Journalist,0.7064469173591759,1.0052310731814402,0.6345920579833392,-1.358921433176927,1.5518662824959095,0.7948923108829167,-0.5248906591678238,-0.7895420339517225,1.1630097845222611,-0.03751220713161973,0.8893008081980249,soccer,-0.007428018440762054,-1.0242950394631678,0.9754899029916843,180,False,False,False,False,False
3.3,-0.8029550685469662,-0.35514240260228896,1.0917584751864888,-0.040953961770732246,-0.36907678856569864,-1.7413380098407458,"Ice cream, cheeseburgers, chips.","I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",-0.8724714128798036,0.2034979576553765,-0.8868678145747452,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.",-0.9958705948858222,0.8721028496007164,"Freshmen year i ate very unhealthy, but now it is much healthier because of self control.",0.615282891227098,0.17654638100137232,-0.4937419311010189,-0.7933616570065591,-1.4875781680668565,0.7238310345975769,-0.4075370083078475,Business guy,Anything american style.,1.3277249885675098,-0.7791577895939819,"chicken, cheesey potatoes, and hot dogs",-0.31063037209869804,0.8437654132750553,-0.3330403077039373,-0.3587986999110318,-0.9536829276815496,A healthy meal has a piece of meat followed by a lot of fruit and veggies,My ideal diet is filled with a lot of fruit and chicken. I also really enjoy eggs any type of way with toast.,-0.8198009474612477,0.3210550691030122,-1.4532263011080142,-2.9547485378887464,-0.6797295417123081,-0.9086260917288514,"chicken, steak, pasta ",-1.2465780499159989,cook,0.7064469173591759,-0.4730499167912662,-0.7098826411339049,1.5365077568307302,-1.2800064957812973,-0.10839440602948874,-0.5248906591678238,1.2665570127975554,-1.6326868128870202,-1.110002171665963,-0.3626786935626796,none,-0.007428018440762054,0.9762812094883317,0.9754899029916843,137,False,False,False,False,False
3.3,-0.8029550685469662,-0.35514240260228896,-1.1272628158429598,-0.040953961770732246,-0.36907678856569864,-1.7413380098407458,"Donuts, ice cream, chips",Boredom ,-0.32443660579449984,0.2034979576553765,-0.36147218982667345,I eat whatever I want in moderation.,-0.9958705948858222,-1.1466537466972384,I snack less,0.615282891227098,1.358776610921275,2.1513041283687246,-0.7933616570065591,1.0713292311307174,-0.8097092929396623,1.262696632298085,High School Principal,Seafood,-0.7339597762888718,1.434358658116194,"Shrimp, spaghetti",-0.31063037209869804,-0.24356115022372757,-1.2187858069165365,1.1116877751341805,0.5995465962297687,Colorful,The same as it is now.,1.104614422166094,0.3210550691030122,1.2479378273455435,0.4650993068898957,0.9355973159690324,0.9232813512728653,"Pasta, Fish, Steak",1.3504595540756654,Elementary School Teacher,-0.9597014726388807,-0.4730499167912662,0.6345920579833392,-0.3937783698410413,1.5518662824959095,0.7948923108829167,1.905158688831361,1.2665570127975554,1.1630097845222611,-1.110002171665963,-1.3840303923674648,none,-0.935930323536018,0.9762812094883317,-1.265391289725141,180,False,False,False,False,False
3.3,-0.8029550685469662,-0.35514240260228896,-1.1272628158429598,-0.040953961770732246,-0.8273675028442983,0.5742710457985438,"Mac and cheese, chocolate, and pasta ","Stress, anger and sadness ",-0.8724714128798036,0.2034979576553765,-0.8868678145747452,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",-0.9958705948858222,-1.1466537466972384,I cook a lot of my own foods back at home so not being able to cook my own healthy choices. I eat more carbs than normal when I'm at college due to the choices given in the cafe. ,-0.7107578226244065,-0.6116071056118962,0.387940088722229,1.11375771079767,1.0713292311307174,-0.8097092929396623,1.262696632298085,commissioner of erie county ,Italian ,-0.7339597762888718,-0.7791577895939819,"Pasta, Eggs, Pancakes ",-0.31063037209869804,0.8437654132750553,-1.2187858069165365,1.1116877751341805,-0.9536829276815496,Chicken and rice with a side of veggies. ,"Lots of protein, carbs, and fruits and veggies. ",-0.8198009474612477,-0.3708739591362376,0.5726467952321541,0.4650993068898957,-0.6797295417123081,0.9232813512728653,pasta salad and bread,1.3504595540756654,Pharmaceutical rep,1.5395211123582042,-0.4730499167912662,1.979066757100583,-0.3937783698410413,0.8438980879266078,-0.10839440602948874,-0.5248906591678238,-0.7895420339517225,0.46408563516994084,-1.8333093570495897,-1.3840303923674648,field hockey,0.921074286654494,-1.0242950394631678,-0.7001239618326084,125,False,False,False,False,False
